2018-05-16 11:41:00.835 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/inst_redo]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.redoInsts(java.lang.String)
2018-05-16 11:41:00.835 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/inst_job]}" onto public java.lang.Object com.ftoul.bi.etl.controller.JobController.instJob(int)
2018-05-16 11:41:00.835 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/next_job]}" onto public java.lang.Object com.ftoul.bi.etl.controller.JobController.nextJob(int)
2018-05-16 11:41:00.835 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/pre_job]}" onto public java.lang.Object com.ftoul.bi.etl.controller.JobController.preJob(int)
2018-05-16 11:41:00.836 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/job_inst_index]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.jobIndex()
2018-05-16 11:41:00.836 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/job_inst_list],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.jobList(int,int)
2018-05-16 11:41:00.836 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/job_index]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.jobMngIndex()
2018-05-16 11:41:00.836 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/job_list],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.jobMngList(com.ftoul.bi.etl.model.JobDef,int,int)
2018-05-16 11:41:00.836 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/job_byid],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.jobMngById(int)
2018-05-16 11:41:00.836 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/jobref_byid],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.jobRefMngById(int)
2018-05-16 11:41:00.836 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/jobparam_byid],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.jobParamMngById(int)
2018-05-16 11:41:00.837 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/submit_job],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.addJob(com.ftoul.bi.etl.model.JobDef2)
2018-05-16 11:41:00.837 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/add_job],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.addJob()
2018-05-16 11:41:00.837 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/update_job],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.updateJob(com.ftoul.bi.etl.model.JobDef)
2018-05-16 11:41:00.837 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/update_param],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.updateParam(com.ftoul.bi.etl.model.JobParamDef2)
